,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
1240,569869960195006464,negative,1.0,Customer Service Issue,0.6397,United,,Kris_KAS,,0,@united i emailed the customer care via the website form. After a long wait Rachelle resolved my issue. But I'm still irritated w/ united.,,2015-02-23 06:42:40 -0800,New York,,united emailed customer care via website form after long wait rachelle resolved issue but still irritated united,united emailed customer care via website form after long wait rachelle resolved issue but still irritated united,united i emailed the customer care via the website form . after a long wait rachelle resolved my issue . but i 'm still irritated w united .
1241,569869808092749824,negative,1.0,Cancelled Flight,1.0,United,,sentientcheese,,0,"@united flight Cancelled Flightled,  and the updated one gets me into BWI too Late Flight! I'd be fine with DCA or IAD,  just arriving earlier!  Help!",,2015-02-23 06:42:04 -0800,,,united flight cancelled flightled updated one gets bwi late flight fine dca iad arriving earlier help,united flight cancelled flightled updated one get bwi late flight fine dca iad arriving earlier help,"united flight cancelled flightled , and the updated one gets me into bwi too late flight ! i 'd be fine with dca or iad , just arriving earlier ! help !"
1242,569869476453158912,negative,1.0,Customer Service Issue,0.6677,United,,ProudDevilAlum,,0,@united so is the ^JJ standing for Just Joking?  I am not finding the humor.,,2015-02-23 06:40:45 -0800,Always around,Mountain Time (US & Canada),united ^jj standing just joking finding humor,united ^jj standing just joking finding humor,united so is the ^jj standing for just joking ? i am not finding the humor .
1248,569867107749531648,negative,1.0,Cancelled Flight,1.0,United,,generationKYLIE,,0,"@united you Cancelled Flight my flight. I wait in line to get rebooked, when I'm at the front you make me go to another gate and I lose my place.",,2015-02-23 06:31:20 -0800,"Washington, DC",,united cancelled flight flight wait line get rebooked front make another gate lose place,united cancelled flight flight wait line get rebooked front make another gate lose place,"united you cancelled flight my flight . i wait in line to get rebooked , when i 'm at the front you make me go to another gate and i lose my place ."
1251,569865827274657792,negative,1.0,Can't Tell,0.6919,United,,mbelliss,,0,"@united you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked, that's it!",,2015-02-23 06:26:15 -0800,Louisville,Alaska,united failed last week iah next intl trip delta small ual flight lax booked,united failed last week iah next intl trip delta small ual flight lax booked,"united you failed me last week at iah . next intl trip on delta . small ual flight from lax booked , that 's it !"
1252,569865540098871298,negative,1.0,Late Flight,0.6947,United,,JackKelleher920,,0,@united We were supposed to board at 605. They just brought the plane from the hanger! WTF did they not know there was a flight?1153 Lax-EWR,,2015-02-23 06:25:07 -0800,New Jersey,Eastern Time (US & Canada),united supposed board 605 they brought plane hanger wtf know flight 1153 lax ewr,united supposed board 605 they brought plane hanger wtf know flight 1153 lax ewr,united we were supposed to board at 605 . they just brought the plane from the hanger ! wtf did they not know there was a flight ? 1153 lax ewr
1255,569865011788693504,negative,1.0,Customer Service Issue,0.6792,United,,mbelliss,,0,@united how about starting without the robotic response?,,2015-02-23 06:23:01 -0800,Louisville,Alaska,united starting without robotic response,united starting without robotic response,united how about starting without the robotic response ?
1257,569864290578108419,negative,1.0,Bad Flight,0.6804,United,,JohntheKiwi,,0,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here.",,2015-02-23 06:20:09 -0800,"Stumptown, Baby!",Pacific Time (US & Canada),united you n't control turbulence control customer experience lot scared people,united you n't control turbulence control customer experience lot scared people,"united you ca n't control turbulence , but you can control customer experience , lot of scared people up here ."
1258,569864108134301697,negative,1.0,Bad Flight,0.7003,United,,JohntheKiwi,,0,"@united Currently on UA862, 20 minutes of the worst turbulence I've ever experienced, and ZERO communication from the flight deck.",,2015-02-23 06:19:25 -0800,"Stumptown, Baby!",Pacific Time (US & Canada),united currently ua862 minutes worst turbulence 've ever experienced zero communication flight deck,united currently ua862 minute worst turbulence 've ever experienced zero communication flight deck,"united currently on ua862 , 20 minutes of the worst turbulence i 've ever experienced , and zero communication from the flight deck ."
1259,569863836615864320,negative,1.0,Flight Attendant Complaints,0.6517,United,,artistanxiety,,0,"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR",,2015-02-23 06:18:20 -0800,Punk is the preacher.,Arizona,united yes looking the ticket agent terminal dismissed missed chance miami flight,united yes looking the ticket agent terminal dismissed missed chance miami flight,"united yes , but it 's not looking . the ticket agent at out terminal dismissed us and we missed a chance at a miami flight then to dr"
1260,569863765451255809,negative,1.0,Customer Service Issue,1.0,United,,Kris_KAS,,0,@united I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice,,2015-02-23 06:18:03 -0800,New York,,united told twice issue resolved twice and write email bounces worstservice,united told twice issue resolved twice and write email bounce worstservice,united i have been told twice my issue has been resolved and twice it has not been . and when i write an email it bounces ? ! worstservice
1263,569862755420905473,negative,1.0,Customer Service Issue,0.6792,United,,Kris_KAS,,0,@united I'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6-year-old son. #terribleservice #NoService,,2015-02-23 06:14:03 -0800,New York,,united hold 4th time waiting resolve issue flight year old son terribleservice noservice,united hold 4th time waiting resolve issue flight year old son terribleservice noservice,united i 'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6 year old son . terribleservice noservice
1268,569859985208770562,negative,1.0,Customer Service Issue,0.6802,United,,TDaulongPerfMgt,,0,@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,,2015-02-23 06:03:02 -0800,"Houston, Texas",,united freq flyer makes sad see cust needing assistance treated poorly servicefail,united freq flyer make sad see cust needing assistance treated poorly servicefail,united as a freq flyer it makes me sad to see cust needing assistance treated so poorly . servicefail
1270,569859213331189760,negative,1.0,Late Flight,0.6799,United,,scottychadwick,,0,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice,,2015-02-23 05:59:58 -0800,,Eastern Time (US & Canada),united day saga maybe 'll finally make home.intentional gon get back vacation days badservice,united day saga maybe 'll finally make home.intentional gon get back vacation day badservice,united day 3 of this saga maybe they 'll finally make it home.intentional or not it not gon na get them back there vacation days badservice
1271,569858507341606912,negative,1.0,Customer Service Issue,1.0,United,,krichards0488,,0,"@united No, thanks. I'm sick of your company's lousy excuse for customer service. I'm never flying United again.",,2015-02-23 05:57:10 -0800,"San Jose, CA",Pacific Time (US & Canada),united thanks sick company lousy excuse customer service never flying united,united thanks sick company lousy excuse customer service never flying united,"united no , thanks . i 'm sick of your company 's lousy excuse for customer service . i 'm never flying united again ."
1272,569858231759085571,negative,1.0,Customer Service Issue,1.0,United,,craigsmail,,0,@united current hold time AFTER speaking to rep to have tix reissued is 42 mins - why so long &amp; why not make this option available online?,,2015-02-23 05:56:04 -0800,"Kansas City, USA",Eastern Time (US & Canada),united current hold time after speaking rep tix reissued mins long amp make option available online,united current hold time after speaking rep tix reissued min long amp make option available online,united current hold time after speaking to rep to have tix reissued is 42 mins why so long & amp ; why not make this option available online ?
1273,569857801725440002,negative,1.0,Customer Service Issue,0.6651,United,,jimbuckley13,,0,@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,,2015-02-23 05:54:22 -0800,,,united understand ppl make mistakes n't code something way n't get reimbursed your fault just blatant lie,united understand ppl make mistake n't code something way n't get reimbursed your fault just blatant lie,united i understand ppl make mistakes but do n't code something in a way that we ca n't get reimbursed when it 's your fault . just blatant lie
1274,569857624549625856,negative,1.0,Lost Luggage,1.0,United,,artistanxiety,,0,@united also forgot add our bag is probably going to just sit in New Jersey because of a missed connection.,,2015-02-23 05:53:39 -0800,Punk is the preacher.,Arizona,united also forgot add bag probably going sit new jersey missed connection,united also forgot add bag probably going sit new jersey missed connection,united also forgot add our bag is probably going to just sit in new jersey because of a missed connection .
1275,569857072310808578,negative,1.0,Late Flight,0.6444,United,,artistanxiety,,0,@united jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy,,2015-02-23 05:51:28 -0800,Punk is the preacher.,Arizona,united jx4s2t today would great honeymoon delay put damper,united jx4s2t today would great honeymoon delay put damper,united jx4s2t if you can out today would be great it 's our honeymoon and this delay you has put a damper on iy
